state_name,county_name,emp0A01_BS,year,quarter,countyreal,censusdiv,FIPS,msa,pop,white,black,hs,col,medinc,pov,nssi,first_treat,treat,lemp,lpop,lmedinc,region
Colorado,Adams,6190,2001,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.730690365678642,5.896760933305299,3.708731099816537,4
Colorado,Adams,5122,2002,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.541300266759471,5.896760933305299,3.708731099816537,4
Colorado,Adams,4729,2003,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.461469042643875,5.896760933305299,3.708731099816537,4
Colorado,Adams,4175,2004,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.336869637284956,5.896760933305299,3.708731099816537,4
Colorado,Adams,4189,2005,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.340217320947035,5.896760933305299,3.708731099816537,4
Colorado,Adams,4351,2006,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.378160982720679,5.896760933305299,3.708731099816537,4
Colorado,Adams,4853,2007,1,8001,8,8001,1,363.857,.7730000305175782,.03,.6580000305175782,.13,40.802,.1039999961853027,5009,2007,1,8.487352349405215,5.896760933305299,3.708731099816537,4
Colorado,Alamosa,259,2001,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.556828061699537,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,212,2002,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.356586274672012,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,219,2003,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.389071729816501,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,212,2004,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.356586274672012,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,201,2005,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.303304908059076,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,209,2006,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.342334251964811,2.705780961658167,3.339463811856794,4
Colorado,Alamosa,185,2007,1,8003,8,8003,1,14.966,.7119999694824218,.01,.5280000114440918,.2410000038146973,28.204,.23,547,2007,1,5.220355825078324,2.705780961658167,3.339463811856794,4
Colorado,Arapahoe,11181,2001,1,8005,8,8005,1,487.967,.7990000152587891,.0769999980926514,.5629999923706055,.3520000076293945,50.748,.0640000009536743,3381,2007,1,9.321971188147367,6.190247780615793,3.926872208278352,4
